2026-01-17 10:28:49 - INFO - Fresh start requested, clearing existing data...
2026-01-17 10:29:54 - INFO - Starting SDF HOSE statistics generation: total_mols=895120, max_radius=6, chunk_size=10000, sdf=predicted_coconut.sdf
2026-01-17 10:35:19 - INFO - Chunk 1: processed=10000, failed=0, shifts=1578006, upserted=293115, progress=1.1%
2026-01-17 10:40:41 - INFO - Chunk 2: processed=10000, failed=0, shifts=1570986, upserted=297412, progress=2.2%
2026-01-17 10:45:56 - INFO - Chunk 3: processed=10000, failed=0, shifts=1565334, upserted=289291, progress=3.4%
2026-01-17 10:51:18 - INFO - Chunk 4: processed=10000, failed=1, shifts=1565418, upserted=292501, progress=4.5%
2026-01-17 10:56:47 - INFO - Chunk 5: processed=10000, failed=0, shifts=1600830, upserted=291014, progress=5.6%
2026-01-17 11:02:12 - INFO - Chunk 6: processed=10000, failed=0, shifts=1583304, upserted=299084, progress=6.7%
2026-01-17 11:07:44 - INFO - Chunk 7: processed=10000, failed=0, shifts=1603950, upserted=294456, progress=7.8%
2026-01-17 11:13:18 - INFO - Chunk 8: processed=10000, failed=0, shifts=1598244, upserted=292944, progress=8.9%
2026-01-17 11:18:44 - INFO - Chunk 9: processed=10000, failed=0, shifts=1573728, upserted=293597, progress=10.1%
2026-01-17 11:24:13 - INFO - Chunk 10: processed=10000, failed=1, shifts=1575648, upserted=289986, progress=11.2%
2026-01-17 11:29:45 - INFO - Chunk 11: processed=10000, failed=0, shifts=1582596, upserted=298238, progress=12.3%
2026-01-17 11:35:14 - INFO - Chunk 12: processed=10000, failed=0, shifts=1576692, upserted=296076, progress=13.4%
2026-01-17 11:40:48 - INFO - Chunk 13: processed=10000, failed=0, shifts=1572486, upserted=291400, progress=14.5%
2026-01-17 11:46:16 - INFO - Chunk 14: processed=10000, failed=0, shifts=1590642, upserted=283357, progress=15.6%
2026-01-17 11:51:57 - INFO - Chunk 15: processed=10000, failed=0, shifts=1586616, upserted=298464, progress=16.8%
2026-01-17 11:57:32 - INFO - Chunk 16: processed=10000, failed=0, shifts=1569570, upserted=287810, progress=17.9%
2026-01-17 12:03:48 - INFO - Chunk 17: processed=10000, failed=0, shifts=1612098, upserted=295863, progress=19.0%
2026-01-17 12:09:26 - INFO - Chunk 18: processed=10000, failed=0, shifts=1572756, upserted=292733, progress=20.1%
2026-01-17 12:18:51 - INFO - Chunk 19: processed=10000, failed=0, shifts=1610238, upserted=301218, progress=21.2%
2026-01-17 12:24:27 - INFO - Chunk 20: processed=10000, failed=0, shifts=1582458, upserted=292838, progress=22.3%
2026-01-17 12:30:12 - INFO - Chunk 21: processed=10000, failed=1, shifts=1556604, upserted=290022, progress=23.5%
2026-01-17 12:35:40 - INFO - Chunk 22: processed=10000, failed=0, shifts=1557516, upserted=292763, progress=24.6%
2026-01-17 12:44:00 - INFO - Chunk 23: processed=10000, failed=0, shifts=1586130, upserted=286422, progress=25.7%
2026-01-17 12:49:34 - INFO - Chunk 24: processed=10000, failed=0, shifts=1585782, upserted=289253, progress=26.8%
2026-01-17 12:55:09 - INFO - Chunk 25: processed=10000, failed=0, shifts=1581912, upserted=294285, progress=27.9%
2026-01-17 13:00:48 - INFO - Chunk 26: processed=10000, failed=0, shifts=1588476, upserted=298998, progress=29.0%
2026-01-17 13:06:41 - INFO - Chunk 27: processed=10000, failed=0, shifts=1593588, upserted=297020, progress=30.2%
2026-01-17 13:12:23 - INFO - Chunk 28: processed=10000, failed=0, shifts=1586970, upserted=297394, progress=31.3%
2026-01-17 13:17:56 - INFO - Chunk 29: processed=10000, failed=0, shifts=1563312, upserted=291706, progress=32.4%
2026-01-17 13:23:28 - INFO - Chunk 30: processed=10000, failed=0, shifts=1573314, upserted=292688, progress=33.5%
2026-01-17 13:28:55 - INFO - Chunk 31: processed=10000, failed=0, shifts=1564344, upserted=289336, progress=34.6%
2026-01-17 13:34:36 - INFO - Chunk 32: processed=10000, failed=2, shifts=1599798, upserted=294081, progress=35.7%
2026-01-17 13:40:04 - INFO - Chunk 33: processed=10000, failed=0, shifts=1566510, upserted=289685, progress=36.9%
2026-01-17 13:45:40 - INFO - Chunk 34: processed=10000, failed=0, shifts=1599288, upserted=286925, progress=38.0%
2026-01-17 13:51:13 - INFO - Chunk 35: processed=10000, failed=0, shifts=1574154, upserted=291017, progress=39.1%
2026-01-17 13:56:48 - INFO - Chunk 36: processed=10000, failed=0, shifts=1575828, upserted=295568, progress=40.2%
2026-01-17 14:02:23 - INFO - Chunk 37: processed=10000, failed=0, shifts=1583916, upserted=294894, progress=41.3%
2026-01-17 14:07:55 - INFO - Chunk 38: processed=10000, failed=0, shifts=1570050, upserted=291362, progress=42.5%
2026-01-17 14:13:29 - INFO - Chunk 39: processed=10000, failed=1, shifts=1579272, upserted=291924, progress=43.6%
2026-01-17 14:19:13 - INFO - Chunk 40: processed=10000, failed=1, shifts=1594068, upserted=293178, progress=44.7%
2026-01-17 14:24:56 - INFO - Chunk 41: processed=10000, failed=0, shifts=1603866, upserted=295717, progress=45.8%
2026-01-17 14:30:39 - INFO - Chunk 42: processed=10000, failed=0, shifts=1608558, upserted=291458, progress=46.9%
2026-01-17 14:36:11 - INFO - Chunk 43: processed=10000, failed=0, shifts=1603284, upserted=284944, progress=48.0%
2026-01-17 14:41:50 - INFO - Chunk 44: processed=10000, failed=0, shifts=1599828, upserted=290160, progress=49.2%
2026-01-17 14:47:24 - INFO - Chunk 45: processed=10000, failed=0, shifts=1583658, upserted=289777, progress=50.3%
2026-01-17 14:53:01 - INFO - Chunk 46: processed=10000, failed=0, shifts=1585638, upserted=289835, progress=51.4%
2026-01-17 14:58:35 - INFO - Chunk 47: processed=10000, failed=0, shifts=1575792, upserted=290038, progress=52.5%
2026-01-17 15:04:14 - INFO - Chunk 48: processed=10000, failed=0, shifts=1589100, upserted=294756, progress=53.6%
2026-01-17 15:09:44 - INFO - Chunk 49: processed=10000, failed=0, shifts=1572072, upserted=290427, progress=54.7%
2026-01-17 15:15:19 - INFO - Chunk 50: processed=10000, failed=0, shifts=1581750, upserted=294769, progress=55.9%
2026-01-17 15:21:00 - INFO - Chunk 51: processed=10000, failed=0, shifts=1597494, upserted=298941, progress=57.0%
2026-01-17 15:26:41 - INFO - Chunk 52: processed=10000, failed=0, shifts=1595682, upserted=295159, progress=58.1%
2026-01-17 15:32:13 - INFO - Chunk 53: processed=10000, failed=0, shifts=1568184, upserted=294133, progress=59.2%
2026-01-17 15:37:47 - INFO - Chunk 54: processed=10000, failed=0, shifts=1579740, upserted=294491, progress=60.3%
2026-01-17 15:43:31 - INFO - Chunk 55: processed=10000, failed=0, shifts=1602324, upserted=290157, progress=61.4%
2026-01-17 15:49:09 - INFO - Chunk 56: processed=10000, failed=0, shifts=1592316, upserted=291214, progress=62.6%
2026-01-17 15:54:50 - INFO - Chunk 57: processed=10000, failed=1, shifts=1596402, upserted=289701, progress=63.7%
2026-01-17 16:00:22 - INFO - Chunk 58: processed=10000, failed=0, shifts=1571280, upserted=289401, progress=64.8%
2026-01-17 16:05:56 - INFO - Chunk 59: processed=10000, failed=0, shifts=1577232, upserted=289696, progress=65.9%
2026-01-17 16:11:35 - INFO - Chunk 60: processed=10000, failed=0, shifts=1595178, upserted=294663, progress=67.0%
2026-01-17 16:17:07 - INFO - Chunk 61: processed=10000, failed=0, shifts=1575264, upserted=290268, progress=68.1%
2026-01-17 16:22:46 - INFO - Chunk 62: processed=10000, failed=0, shifts=1598508, upserted=292547, progress=69.3%
2026-01-17 16:28:27 - INFO - Chunk 63: processed=10000, failed=0, shifts=1604802, upserted=298754, progress=70.4%
2026-01-17 16:34:07 - INFO - Chunk 64: processed=10000, failed=0, shifts=1588632, upserted=291627, progress=71.5%
2026-01-17 16:39:38 - INFO - Chunk 65: processed=10000, failed=0, shifts=1571196, upserted=285992, progress=72.6%
2026-01-17 16:45:11 - INFO - Chunk 66: processed=10000, failed=0, shifts=1581744, upserted=296185, progress=73.7%
2026-01-17 16:54:02 - INFO - Chunk 67: processed=10000, failed=4, shifts=1573164, upserted=292676, progress=74.9%
2026-01-17 16:59:55 - INFO - Chunk 68: processed=10000, failed=0, shifts=1598946, upserted=298395, progress=76.0%
2026-01-17 17:05:36 - INFO - Chunk 69: processed=10000, failed=0, shifts=1581282, upserted=293792, progress=77.1%
2026-01-17 17:11:10 - INFO - Chunk 70: processed=10000, failed=2, shifts=1574886, upserted=298237, progress=78.2%
2026-01-17 17:20:00 - INFO - Chunk 71: processed=10000, failed=0, shifts=1604250, upserted=298846, progress=79.3%
2026-01-17 17:25:40 - INFO - Chunk 72: processed=10000, failed=0, shifts=1591050, upserted=299268, progress=80.4%
2026-01-17 17:31:31 - INFO - Chunk 73: processed=10000, failed=0, shifts=1588344, upserted=294201, progress=81.6%
2026-01-17 17:37:13 - INFO - Chunk 74: processed=10000, failed=1, shifts=1594686, upserted=295313, progress=82.7%
2026-01-17 17:47:07 - INFO - Chunk 75: processed=10000, failed=0, shifts=1591086, upserted=293208, progress=83.8%
2026-01-17 17:52:48 - INFO - Chunk 76: processed=10000, failed=0, shifts=1587006, upserted=292353, progress=84.9%
2026-01-17 17:58:28 - INFO - Chunk 77: processed=10000, failed=0, shifts=1570926, upserted=296886, progress=86.0%
2026-01-17 18:04:02 - INFO - Chunk 78: processed=10000, failed=0, shifts=1562520, upserted=288185, progress=87.1%
2026-01-17 18:09:51 - INFO - Chunk 79: processed=10000, failed=1, shifts=1610676, upserted=297281, progress=88.3%
2026-01-17 19:00:04 - INFO - Chunk 80: processed=10000, failed=0, shifts=1567428, upserted=289154, progress=89.4%
2026-01-17 19:17:04 - INFO - Chunk 81: processed=10000, failed=4, shifts=1573344, upserted=297159, progress=90.5%
2026-01-17 21:06:17 - INFO - Chunk 82: processed=10000, failed=0, shifts=1571460, upserted=289665, progress=91.6%
2026-01-17 21:15:18 - INFO - Chunk 83: processed=10000, failed=0, shifts=1590222, upserted=293461, progress=92.7%
2026-01-17 21:20:56 - INFO - Chunk 84: processed=10000, failed=0, shifts=1584138, upserted=293858, progress=93.8%
2026-01-17 21:26:39 - INFO - Chunk 85: processed=10000, failed=1, shifts=1594374, upserted=291005, progress=95.0%
2026-01-17 21:32:22 - INFO - Chunk 86: processed=10000, failed=0, shifts=1586124, upserted=295738, progress=96.1%
2026-01-17 21:37:58 - INFO - Chunk 87: processed=10000, failed=0, shifts=1572270, upserted=293093, progress=97.2%
2026-01-17 21:43:34 - INFO - Chunk 88: processed=10000, failed=0, shifts=1581954, upserted=294366, progress=98.3%
2026-01-17 21:49:13 - INFO - Chunk 89: processed=10000, failed=0, shifts=1592118, upserted=289027, progress=99.4%
2026-01-17 21:52:06 - INFO - Chunk 90: processed=5099, failed=0, shifts=807144, upserted=166242, progress=100.0%
2026-01-17 21:52:15 - INFO - Generation complete: compounds=895099, failed=21, shifts=141801354, total_stats=7890374
